post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"bc3d339aea04ae4517eef736abe8f91a";s:8:"username";s:41:"F6A3F120-776B-43EC-8C9B-111042A0D3AB@u591";}, 2017-04-21 08:17:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"ebc8d066773056b1285a7ddcd395dd42";s:8:"username";s:35:"ojKm5wNBrWezvwfrNJgfce2aawfs@weixin";}, 2017-04-21 11:07:40
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 11:18:26
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 11:25:25
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 11:36:09
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 11:36:12
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 14:38:45
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 15:13:57
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 15:47:42
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 15:50:22
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"dadacfbd996eecf08d631f836fee2c4a";s:8:"username";s:35:"05127292B871631AF9885693AAA2A0EF@qq";}, 2017-04-21 15:53:09
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"dadacfbd996eecf08d631f836fee2c4a";s:8:"username";s:35:"05127292B871631AF9885693AAA2A0EF@qq";}, 2017-04-21 15:53:59
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"dadacfbd996eecf08d631f836fee2c4a";s:8:"username";s:35:"05127292B871631AF9885693AAA2A0EF@qq";}, 2017-04-21 15:54:35
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 15:54:46
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 15:57:39
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 16:13:41
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"dadacfbd996eecf08d631f836fee2c4a";s:8:"username";s:35:"05127292B871631AF9885693AAA2A0EF@qq";}, 2017-04-21 16:22:21
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 16:32:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 16:35:10
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"4720220150357041bcd273d71cbad5eb";s:8:"username";s:41:"E1FCAC41-80D0-43BE-A86A-00480B1F6B25@u591";}, 2017-04-21 16:38:29
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"dadacfbd996eecf08d631f836fee2c4a";s:8:"username";s:35:"05127292B871631AF9885693AAA2A0EF@qq";}, 2017-04-21 16:44:45
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"dadacfbd996eecf08d631f836fee2c4a";s:8:"username";s:35:"05127292B871631AF9885693AAA2A0EF@qq";}, 2017-04-21 16:45:13
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"dadacfbd996eecf08d631f836fee2c4a";s:8:"username";s:35:"05127292B871631AF9885693AAA2A0EF@qq";}, 2017-04-21 17:01:21
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"dadacfbd996eecf08d631f836fee2c4a";s:8:"username";s:35:"05127292B871631AF9885693AAA2A0EF@qq";}, 2017-04-21 17:16:26
post=a:3:{s:7:"game_id";s:1:"9";s:4:"sign";s:32:"919d32692640e4c0c008f4ab38034baf";s:8:"username";s:41:"7e14c6ca-bbf6-3973-95a1-9528785ab836@u591";}, 2017-04-21 17:41:07
