 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"C7247001644C63FAB40A8B708334126D";s:4:"sign";s:32:"32dd5683b33249fabcd1287397115dbe";s:7:"game_id";s:1:"9";}, 2017-05-24 00:02:13
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"58F8B6C4B335C778EA31AF69E3B153CC";s:4:"sign";s:32:"24eb2b13333526c1b1835527bf95086c";s:7:"game_id";s:1:"9";}, 2017-05-24 00:03:51
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"9D0E6B036BB1D4CD29BAE786C3380132";s:4:"sign";s:32:"21b09dc30d12fedf66f3085657ce8531";s:7:"game_id";s:1:"9";}, 2017-05-24 00:06:48
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"541FD724E175B5BDBCEAAB8FB7987CA9";s:4:"sign";s:32:"57e7a1a0902fc83767a3e69a1f704882";s:7:"game_id";s:1:"9";}, 2017-05-24 00:08:49
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"3A69578B2032292A4CE8928DB83C6897";s:4:"sign";s:32:"eb18fd2c867161a4cb5a935e19ea945b";s:7:"game_id";s:1:"9";}, 2017-05-24 00:09:43
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"4B7BBF3EB739EA6239C1326C33F49726";s:4:"sign";s:32:"0516a61383cce9d8645babe47779d622";s:7:"game_id";s:1:"9";}, 2017-05-24 00:12:30
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"A6FB2CC15D8B496DC43ECB56F2C924C2";s:4:"sign";s:32:"bdf388d7a63e3e39b8d8ccfebb1eceeb";s:7:"game_id";s:1:"9";}, 2017-05-24 00:15:13
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"75853A72B3FEFDC3B3936A7768CF8E39";s:4:"sign";s:32:"1e1730c00e149070a916f9c30dbe60f0";s:7:"game_id";s:1:"9";}, 2017-05-24 00:15:53
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"4B7BBF3EB739EA6239C1326C33F49726";s:4:"sign";s:32:"0516a61383cce9d8645babe47779d622";s:7:"game_id";s:1:"9";}, 2017-05-24 00:30:49
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"4C701FFD24A0D4C6E64D12B83E120FC5";s:4:"sign";s:32:"dfc40e39f7c42ed0051c6f2da332c711";s:7:"game_id";s:1:"9";}, 2017-05-24 00:31:43
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"3A69578B2032292A4CE8928DB83C6897";s:4:"sign";s:32:"eb18fd2c867161a4cb5a935e19ea945b";s:7:"game_id";s:1:"9";}, 2017-05-24 00:39:36
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"6AF59290157FE00217971CB8A9A8952F";s:4:"sign";s:32:"44e068f89d9d304b92a7074020217cfc";s:7:"game_id";s:1:"9";}, 2017-05-24 00:40:57
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"A6FB2CC15D8B496DC43ECB56F2C924C2";s:4:"sign";s:32:"bdf388d7a63e3e39b8d8ccfebb1eceeb";s:7:"game_id";s:1:"9";}, 2017-05-24 00:54:39
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"51A3CF073055C2A811A36D0FF54CA111";s:4:"sign";s:32:"2e978cc2b14fd6f5e1662168f143e325";s:7:"game_id";s:1:"9";}, 2017-05-24 00:59:30
