 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wPoLlvtTehdhxE4RgCB723c";s:4:"sign";s:32:"2a5419b9c6b1bbe5ae80f73793589af8";s:7:"game_id";s:1:"9";}, 2017-05-23 00:12:27
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wMBJRoS1PBMqSgT2-4rbTL0";s:4:"sign";s:32:"a70a7dbc467e7bb3d62c8f43bf1ccb2a";s:7:"game_id";s:1:"9";}, 2017-05-23 00:14:59
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wMBJRoS1PBMqSgT2-4rbTL0";s:4:"sign";s:32:"a70a7dbc467e7bb3d62c8f43bf1ccb2a";s:7:"game_id";s:1:"9";}, 2017-05-23 00:26:00
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wMBJRoS1PBMqSgT2-4rbTL0";s:4:"sign";s:32:"a70a7dbc467e7bb3d62c8f43bf1ccb2a";s:7:"game_id";s:1:"9";}, 2017-05-23 00:26:03
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGTo95HtRBszAh-DOFarMz4";s:4:"sign";s:32:"3209533b19d5e964c6f3dae1df80347e";s:7:"game_id";s:1:"9";}, 2017-05-23 00:33:30
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGTo95HtRBszAh-DOFarMz4";s:4:"sign";s:32:"3209533b19d5e964c6f3dae1df80347e";s:7:"game_id";s:1:"9";}, 2017-05-23 00:44:58
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wNMEllNNRzzd87xO7yWWGRw";s:4:"sign";s:32:"2f946387ebd5ffa5d88041c23bbc101e";s:7:"game_id";s:1:"9";}, 2017-05-23 00:45:58
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGTo95HtRBszAh-DOFarMz4";s:4:"sign";s:32:"3209533b19d5e964c6f3dae1df80347e";s:7:"game_id";s:1:"9";}, 2017-05-23 00:55:11
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wGTo95HtRBszAh-DOFarMz4";s:4:"sign";s:32:"3209533b19d5e964c6f3dae1df80347e";s:7:"game_id";s:1:"9";}, 2017-05-23 00:56:02
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wA-rfmxlmTbd4nqfKYrDNBA";s:4:"sign";s:32:"310311aca5788ab84a4fff69a7e39b0f";s:7:"game_id";s:1:"9";}, 2017-05-23 01:15:57
 post=a:0:{}, get=a:3:{s:6:"openid";s:28:"ojKm5wLn3wPQbstzi0P-l89VtXM4";s:4:"sign";s:32:"aa8177021c4a95df6b02366cb13be05c";s:7:"game_id";s:1:"9";}, 2017-05-23 02:06:17
