 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"B0841A6C0FCC6A68ECF38D9602677E8D";s:4:"sign";s:32:"d3080ccc9973ef425e39d07e1082d494";s:7:"game_id";s:1:"9";}, 2017-05-17 00:03:13
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"B5142C63F2C7CED1DCB3A2DC5666C625";s:4:"sign";s:32:"6674fcbccfaf368f7c4636746733450a";s:7:"game_id";s:1:"9";}, 2017-05-17 00:13:56
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"ABB4DC170AAA59329470CDFDD16E2D37";s:4:"sign";s:32:"7432008a9f31159b9811d0dd5ae308db";s:7:"game_id";s:1:"9";}, 2017-05-17 00:19:49
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"8C7E952C41D7AD8F999C95E6D33BA4BB";s:4:"sign";s:32:"3392797d026d9b110be5b31e3356cf7d";s:7:"game_id";s:1:"9";}, 2017-05-17 00:20:57
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"7F7ACBB88C3106F53C8B9FA5B8C0D726";s:4:"sign";s:32:"5984da62db0da8a4354c0d0463a647bf";s:7:"game_id";s:1:"9";}, 2017-05-17 00:34:32
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"5848473DC433FCB4EC7944F98C2880E6";s:4:"sign";s:32:"5b049717063ff45a7b2344b92fd11640";s:7:"game_id";s:1:"9";}, 2017-05-17 00:48:38
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"335FE9F082F0C8CCD9934651430B0514";s:4:"sign";s:32:"964c3088b375b1649e37a17f719bd638";s:7:"game_id";s:1:"9";}, 2017-05-17 00:49:46
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"7F7ACBB88C3106F53C8B9FA5B8C0D726";s:4:"sign";s:32:"5984da62db0da8a4354c0d0463a647bf";s:7:"game_id";s:1:"9";}, 2017-05-17 00:50:55
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"629145E1DDD20D77CDA035E39FEC24B0";s:4:"sign";s:32:"ab09276a9ce57e5fe372d6f41d4834b9";s:7:"game_id";s:1:"9";}, 2017-05-17 00:51:33
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"90D9002F53800D64918CCBAA4862AC60";s:4:"sign";s:32:"0edadd36c6f57273c682dc32e7bf6274";s:7:"game_id";s:1:"9";}, 2017-05-17 00:55:17
 post=a:0:{}, get=a:3:{s:6:"openid";s:32:"3479F757B4A4419A2EA59874D5B6C05E";s:4:"sign";s:32:"809e18ae904d73fa451ab619f16e51c0";s:7:"game_id";s:1:"9";}, 2017-05-17 01:23:36
